ORDERNUMBER;ORDERDATE;REQUIREDDATE;SHIPPEDDATE;STATUS;PRODUCTCODE;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;PRODUCTNAME;PRODUCTLINE;PRODUCTSCALE;PRODUCTVENDOR;PRODUCTDESCRIPTION;QUANTITYINSTOCK;BUYPRICE;MSRP;CUSTOMERNUMBER;CUSTOMERNAME;CITY;STATE;POSTALCODE;COUNTRY;CREDITLIMIT;FIRSTNAME;LASTNAME;EMAIL;JOBTITLE;OFFICECODE;CITY_1;PHONE;STATE_1;COUNTRY_1;POSTALCODE_1;TERRITORY
10113;3/26/2019;4/2/2019;3/27/2019;Shipped;S12_1666;21;121,64;2;1958 Setra Bus;Trucks and Buses;01:12;Welly Diecast Productions;Model features 30 windows, skylights & glare resistant glass, working steering system, original logos;1579;77,9;136,67;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10113;3/26/2019;4/2/2019;3/27/2019;Shipped;S18_1097;49;101,5;4;1940 Ford Pickup Truck;Trucks and Buses;01:18;Studio M Art Models;This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box;2613;58,33;116,67;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10113;3/26/2019;4/2/2019;3/27/2019;Shipped;S18_4668;50;43,27;3;1939 Cadillac Limousine;Vintage Cars;01:18;Studio M Art Models;Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles;6645;23,14;50,31;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10113;3/26/2019;4/2/2019;3/27/2019;Shipped;S32_3522;23;58,82;1;1996 Peterbilt 379 Stake Bed with Outrigger;Trucks and Buses;01:32;Red Start Diecast;This model features, opening doors, detailed engine, working steering, tinted windows, detailed interior, die-struck logos, removable stakes operating outriggers, detachable second trailer, functioning 360-degree self loader, precision molded resin trailer and trim, baked enamel finish on cab;814;33,61;64,64;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S12_1099;42;173,17;7;1968 Ford Mustang;Classic Cars;01:12;Autoart Studio Design;Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.;68;95,34;194,57;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S12_3380;48;110,39;5;1968 Dodge Charger;Classic Cars;01:12;Welly Diecast Productions;1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black;9123;75,16;117,44;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S12_3990;24;72,62;8;1970 Plymouth Hemi Cuda;Classic Cars;01:12;Studio M Art Models;Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.;5663;31,92;79,8;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S12_4675;29;103,64;4;1969 Dodge Charger;Classic Cars;01:12;Welly Diecast Productions;Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.;7323;58,73;115,16;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S18_1889;48;66,99;3;1948 Porsche 356-A Roadster;Classic Cars;01:18;Gearbox Collectibles;This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.;8826;53,9;77;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S18_3278;45;65,94;10;1969 Dodge Super Bee;Classic Cars;01:18;Min Lin Diecast;This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.;1917;49,05;80,41;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S18_3482;42;139,64;9;1976 Ford Gran Torino;Classic Cars;01:18;Gearbox Collectibles;"Highly detailed 1976 Ford Gran Torino ""Starsky and Hutch"" diecast model. Very well constructed and painted in red and white patterns.";9127;73,49;146,99;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S18_3782;45;49,74;13;1957 Vespa GS150;Motorcycles;01:18;Studio M Art Models;Features rotating wheels , working kick stand. Comes with stand.;7689;32,95;62,17;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S18_4721;31;133,92;12;1957 Corvette Convertible;Classic Cars;01:18;Classic Metal Creations;1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.;1249;69,93;148,8;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
